PassengerId,Pclass,Sex,Age,SibSp,Parch,Cabin,Embarked,Fareplus
1002,2,1,41.0,0,0,8,1,1
1003,3,0,,0,0,8,2,0
1004,1,0,36.0,0,0,1,1,3
1005,3,0,18.5,0,0,8,2,0
1006,1,0,63.0,1,0,3,3,16
1007,3,1,18.0,1,0,8,1,1
1008,3,1,,0,0,8,1,0
1009,3,0,1.0,1,1,7,3,1
1010,1,1,36.0,0,0,3,1,7
1011,2,0,29.0,1,0,8,3,2
1012,2,0,12.0,0,0,8,3,1
1013,3,1,,1,0,8,2,0
1014,1,0,35.0,1,0,3,1,5
1015,3,1,28.0,0,0,8,3,0
1016,3,1,,0,0,8,2,0
1017,3,0,17.0,0,1,8,3,1
1018,3,1,22.0,0,0,8,3,0
1019,3,0,,2,0,8,2,2
1020,2,1,42.0,0,0,8,3,1
1021,3,1,24.0,0,0,8,3,0
1022,3,1,32.0,0,0,8,3,0
1023,1,1,53.0,0,0,3,1,2
1024,3,0,,0,4,8,3,2
1025,3,1,,1,0,8,1,0
1026,3,1,43.0,0,0,8,3,0
1027,3,1,24.0,0,0,8,3,0
1028,3,1,26.5,0,0,8,1,0
1029,2,1,26.0,0,0,8,3,1
1030,3,0,23.0,0,0,8,3,0
1031,3,1,40.0,1,6,8,3,4
1032,3,0,10.0,5,2,8,3,4
1033,1,0,33.0,0,0,8,3,13
1034,1,1,61.0,1,3,2,1,18
1035,2,1,28.0,0,0,8,3,2
1036,1,1,42.0,0,0,8,3,2
1037,3,1,31.0,3,0,8,3,1
1038,1,1,,0,0,5,3,5
1039,3,1,22.0,0,0,8,3,0
1040,1,1,,0,0,8,3,2
1041,2,1,30.0,1,1,8,3,2
1042,1,0,23.0,0,1,3,1,8
1043,3,1,,0,0,8,1,0
1044,3,1,60.5,0,0,8,3,0
1045,3,0,36.0,0,2,8,3,1
1046,3,1,13.0,4,2,8,3,3
1047,3,1,24.0,0,0,8,3,0
1048,1,0,29.0,0,0,3,3,16
1049,3,0,23.0,0,0,8,3,0
1050,1,1,42.0,0,0,4,3,2
1051,3,0,26.0,0,2,8,3,1
1052,3,0,,0,0,8,2,0
1053,3,1,7.0,1,1,8,1,1
1054,2,0,26.0,0,0,8,3,1
1055,3,1,,0,0,8,3,0
1056,2,1,41.0,0,0,8,3,1
1057,3,0,26.0,1,1,8,3,2
1058,1,1,48.0,0,0,2,1,5
1059,3,1,18.0,2,2,8,3,3
1060,1,0,,0,0,8,1,2
1061,3,0,22.0,0,0,8,3,0
1062,3,1,,0,0,8,3,0
1063,3,1,27.0,0,0,8,1,0
1064,3,1,23.0,1,0,8,3,1
1065,3,1,,0,0,8,1,0
1066,3,1,40.0,1,5,8,3,3
1067,2,0,15.0,0,2,8,3,3
1068,2,0,20.0,0,0,8,3,3
1069,1,1,54.0,1,0,3,1,5
1070,2,0,36.0,0,3,6,3,3
1071,1,0,64.0,0,2,5,1,8
1072,2,1,30.0,0,0,8,3,1
1073,1,1,37.0,1,1,5,1,8
1074,1,0,18.0,1,0,4,3,5
1075,3,1,,0,0,8,2,0
1076,1,0,27.0,1,1,2,1,17
1077,2,1,40.0,0,0,8,3,1
1078,2,0,21.0,0,1,8,3,2
1079,3,1,17.0,2,0,8,3,0
1080,3,0,,8,2,8,3,6
1081,2,1,40.0,0,0,8,3,1
1082,2,1,34.0,1,0,8,3,2
1083,1,1,,0,0,8,3,2
1084,3,1,11.5,1,1,8,3,1
1085,2,1,61.0,0,0,8,2,1
1086,2,1,8.0,0,2,8,3,3
1087,3,1,33.0,0,0,8,3,0
1088,1,1,6.0,0,2,5,1,11
1089,3,0,18.0,0,0,8,3,0
1090,2,1,23.0,0,0,8,3,1
1091,3,0,,0,0,8,3,0
1092,3,0,,0,0,8,2,1
1093,3,1,0.33,0,2,8,3,1
1094,1,1,47.0,1,0,3,1,16
1095,2,0,8.0,1,1,8,3,2
1096,2,1,25.0,0,0,8,3,1
1097,1,1,,0,0,8,1,2
1098,3,0,35.0,0,0,8,2,0
1099,2,1,24.0,0,0,8,3,1
1100,1,0,33.0,0,0,1,1,2
1101,3,1,25.0,0,0,8,3,0
1102,3,1,32.0,0,0,8,3,2
1103,3,1,,0,0,8,3,0
1104,2,1,17.0,0,0,8,3,7
1105,2,0,60.0,1,0,8,3,2
1106,3,0,38.0,4,2,8,3,0
1107,1,1,42.0,0,0,2,3,4
1108,3,0,,0,0,8,2,0
1109,1,1,57.0,1,1,8,3,14
1110,1,0,50.0,1,1,3,1,15
1111,3,1,,0,0,8,3,0
1112,2,0,30.0,1,0,8,1,1
1113,3,1,21.0,0,0,8,3,0
1114,2,0,22.0,0,0,6,3,1
1115,3,1,21.0,0,0,8,3,0
1116,1,0,53.0,0,0,8,1,2
1117,3,0,,0,2,8,1,1
1118,3,1,23.0,0,0,8,3,0
1119,3,0,,0,0,8,2,0
1120,3,1,40.5,0,0,8,3,1
1121,2,1,36.0,0,0,8,3,1
1122,2,1,14.0,0,0,8,3,6
1123,1,0,21.0,0,0,8,3,2
1124,3,1,21.0,1,0,8,3,0
1125,3,1,,0,0,8,2,0
1126,1,1,39.0,1,0,3,1,7
1127,3,1,20.0,0,0,8,3,0
1128,1,1,64.0,1,0,4,1,7
1129,3,1,20.0,0,0,8,1,0
1130,2,0,18.0,1,1,8,3,1
1131,1,0,48.0,1,0,3,1,10
1132,1,0,55.0,0,0,8,1,2
1133,2,0,45.0,0,2,8,3,3
1134,1,1,45.0,1,1,5,1,11
1135,3,1,,0,0,8,3,0
1136,3,1,,1,2,8,3,2
1137,1,1,41.0,1,0,4,3,5
1138,2,0,22.0,0,0,8,3,2
1139,2,1,42.0,1,1,8,3,3
1140,2,0,29.0,1,0,8,3,2
1141,3,0,,1,0,8,1,1
1142,2,0,0.92,1,2,8,3,2
1143,3,1,20.0,0,0,8,3,0
1144,1,1,27.0,1,0,3,1,11
1145,3,1,24.0,0,0,8,3,0
1146,3,1,32.5,0,0,8,3,0
1147,3,1,,0,0,8,3,0
1148,3,1,,0,0,8,2,0
1149,3,1,28.0,0,0,8,3,0
1150,2,0,19.0,0,0,8,3,1
1151,3,1,21.0,0,0,8,3,0
1152,3,1,36.5,1,0,8,3,1
1153,3,1,21.0,0,0,8,3,0
1154,2,0,29.0,0,2,8,3,2
1155,3,0,1.0,1,1,8,3,1
1156,2,1,30.0,0,0,8,1,1
1157,3,1,,0,0,8,3,0
1158,1,1,,0,0,8,3,0
1159,3,1,,0,0,8,3,0
1160,3,0,,0,0,8,3,0
1161,3,1,17.0,0,0,8,3,0
1162,1,1,46.0,0,0,3,1,7
1163,3,1,,0,0,8,2,0
1164,1,0,26.0,1,0,3,1,11
1165,3,0,,1,0,8,2,1
1166,3,1,,0,0,8,1,0
1167,2,0,20.0,1,0,8,3,2
1168,2,1,28.0,0,0,8,3,1
1169,2,1,40.0,1,0,8,3,2
1170,2,1,30.0,1,0,8,3,2
1171,2,1,22.0,0,0,8,3,1
1172,3,0,23.0,0,0,8,3,0
1173,3,1,0.75,1,1,8,3,1
1174,3,0,,0,0,8,2,0
1175,3,0,9.0,1,1,8,1,1
1176,3,0,2.0,1,1,8,3,2
1177,3,1,36.0,0,0,8,3,0
1178,3,1,,0,0,8,3,0
1179,1,1,24.0,1,0,2,3,8
1180,3,1,,0,0,6,1,0
1181,3,1,,0,0,8,3,0
1182,1,1,,0,0,8,3,3
1183,3,0,30.0,0,0,8,2,0
1184,3,1,,0,0,8,1,0
1185,1,1,53.0,1,1,1,3,8
1186,3,1,36.0,0,0,8,3,0
1187,3,1,26.0,0,0,8,3,0
1188,2,0,1.0,1,2,8,1,4
1189,3,1,,2,0,8,1,2
1190,1,1,30.0,0,0,8,3,4
1191,3,1,29.0,0,0,8,3,0
1192,3,1,32.0,0,0,8,3,0
1193,2,1,,0,0,4,1,1
1194,2,1,43.0,0,1,8,3,2
1195,3,1,24.0,0,0,8,3,0
1196,3,0,,0,0,8,2,0
1197,1,0,64.0,1,1,2,3,2
1198,1,1,30.0,1,2,3,3,13
1199,3,1,0.83,0,1,8,3,0
1200,1,1,55.0,1,1,2,3,9
1201,3,0,45.0,1,0,8,3,1
1202,3,1,18.0,0,0,8,3,0
1203,3,1,22.0,0,0,8,1,0
1204,3,1,,0,0,8,3,0
1205,3,0,37.0,0,0,8,2,0
1206,1,0,55.0,0,0,3,1,11
1207,3,0,17.0,0,0,8,2,0
1208,1,1,57.0,1,0,2,1,12
1209,2,1,19.0,0,0,8,3,1
1210,3,1,27.0,0,0,8,3,0
1211,2,1,22.0,2,0,8,3,3
1212,3,1,26.0,0,0,8,3,0
1213,3,1,25.0,0,0,6,1,0
1214,2,1,26.0,0,0,6,3,1
1215,1,1,33.0,0,0,8,3,2
1216,1,0,39.0,0,0,8,3,15
1217,3,1,23.0,0,0,8,3,0
1218,2,0,12.0,2,1,6,3,3
1219,1,1,46.0,0,0,8,1,7
1220,2,1,29.0,1,0,8,3,2
1221,2,1,21.0,0,0,8,3,1
1222,2,0,48.0,0,2,8,3,3
1223,1,1,39.0,0,0,1,1,2
1224,3,1,,0,0,8,1,0
1225,3,0,19.0,1,1,8,1,1
1226,3,1,27.0,0,0,8,3,0
1227,1,1,30.0,0,0,3,3,2
1228,2,1,32.0,0,0,8,3,1
1229,3,1,39.0,0,2,8,1,0
1230,2,1,25.0,0,0,8,3,3
1231,3,1,,0,0,8,1,0
1232,2,1,18.0,0,0,8,3,1
1233,3,1,32.0,0,0,8,3,0
1234,3,1,,1,9,8,3,6
1235,1,0,58.0,0,1,2,1,19
1236,3,1,,1,1,8,3,1
1237,3,0,16.0,0,0,8,3,0
1238,2,1,26.0,0,0,8,3,1
1239,3,0,38.0,0,0,8,1,0
1240,2,1,24.0,0,0,8,3,1
1241,2,0,31.0,0,0,8,3,2
1242,1,0,45.0,0,1,4,1,6
1243,2,1,25.0,0,0,8,3,1
1244,2,1,18.0,0,0,8,3,7
1245,2,1,49.0,1,2,8,3,6
1246,3,0,0.17,1,2,8,3,2
1247,1,1,50.0,0,0,5,3,2
1248,1,0,59.0,2,0,3,3,5
1249,3,1,,0,0,8,3,0
1250,3,1,,0,0,8,2,0
1251,3,0,30.0,1,0,8,3,1
1252,3,1,14.5,8,2,8,3,6
1253,2,0,24.0,1,1,8,1,3
1254,2,0,31.0,0,0,8,3,2
1255,3,1,27.0,0,0,8,3,0
1256,1,0,25.0,1,0,5,1,5
1257,3,0,,1,9,8,3,6
1258,3,1,,1,0,8,1,1
1259,3,0,22.0,0,0,8,3,3
1260,1,0,45.0,0,1,8,1,5
1261,2,1,29.0,0,0,8,1,1
1262,2,1,21.0,1,0,8,3,1
1263,1,0,31.0,0,0,5,1,11
1264,1,1,49.0,0,0,2,3,0
1265,2,1,44.0,0,0,8,3,1
1266,1,0,54.0,1,1,1,3,8
1267,1,0,45.0,0,0,8,1,18
1268,3,0,22.0,2,0,8,3,0
1269,2,1,21.0,0,0,8,3,1
1270,1,1,55.0,0,0,3,3,5
1271,3,1,5.0,4,2,8,3,3
1272,3,1,,0,0,8,2,0
1273,3,1,26.0,0,0,8,2,0
1274,3,0,,0,0,8,3,1
1275,3,0,19.0,1,0,8,3,1
1276,2,1,,0,0,8,3,1
1277,2,0,24.0,1,2,8,3,6
1278,3,1,24.0,0,0,8,3,0
1279,2,1,57.0,0,0,8,3,1
1280,3,1,21.0,0,0,8,2,0
1281,3,1,6.0,3,1,8,3,2
1282,1,1,23.0,0,0,2,3,9
1283,1,0,51.0,0,1,4,3,3
1284,3,1,13.0,0,2,8,3,2
1285,2,1,47.0,0,0,8,3,1
1286,3,1,29.0,3,1,8,3,2
1287,1,0,18.0,1,0,3,3,6
1288,3,1,24.0,0,0,8,2,0
1289,1,0,48.0,1,1,2,1,7
1290,3,1,22.0,0,0,8,3,0
1291,3,1,31.0,0,0,8,2,0
1292,1,0,30.0,0,0,3,3,14
1293,2,1,38.0,1,0,8,3,2
1294,1,0,22.0,0,1,8,1,5
1295,1,1,17.0,0,0,8,3,4
1296,1,1,43.0,1,0,4,1,2
1297,2,1,20.0,0,0,4,1,1
1298,2,1,23.0,1,0,8,3,1
1299,1,1,50.0,1,1,3,1,15
1300,3,0,,0,0,8,2,0
1301,3,0,3.0,1,1,8,3,1
1302,3,0,,0,0,8,2,0
1303,1,0,37.0,1,0,3,2,9
1304,3,0,28.0,0,0,8,3,0
1305,3,1,,0,0,8,3,0
1306,1,0,39.0,0,0,3,1,10
1307,3,1,38.5,0,0,8,3,0
1308,3,1,,0,0,8,3,0
1309,3,1,,1,1,8,1,2
